MC-cycles <epsilon> <|m|>
1042 0.180499 1.005
1043 0.180527 1
1044 0.180556 1.005
1045 0.180574 1.01
1046 0.180612 1.015
1047 0.180659 1.02
1048 0.180706 1.025
1049 0.180763 1.02
1050 0.180819 1.02
1051 0.180875 1.025
1052 0.180922 1.02
1053 0.180959 1.015
1054 0.180996 1.015
1055 0.181033 1.01
1056 0.18107 1.015
1057 0.181107 1.02
1058 0.181153 1.025
1059 0.18119 1.02
1060 0.181208 1.015
1061 0.181206 1.01
1062 0.181215 1.005
1063 0.181214 1
1064 0.181212 1
1065 0.181211 1
1066 0.18122 1.005
1067 0.181237 1
1068 0.181255 0.995
1069 0.181272 0.995
1070 0.181299 1
1071 0.181326 1.005
1072 0.181362 1
1073 0.181398 0.995
1074 0.181434 0.995
1075 0.18147 0.99
1076 0.181506 0.985
1077 0.181541 0.98
1078 0.181577 0.98
1079 0.181603 0.975
1080 0.181611 0.97
1081 0.181628 0.965
1082 0.181654 0.97
1083 0.181681 0.97
1084 0.181707 0.965
1085 0.181733 0.965
1086 0.18174 0.96
1087 0.181757 0.965
1088 0.181765 0.96
1089 0.181772 0.955
1090 0.181789 0.96
1091 0.181806 0.965
1092 0.181822 0.97
1093 0.181839 0.97
1094 0.181865 0.965
1095 0.181881 0.97
1096 0.181898 0.975
1097 0.181905 0.98
1098 0.181922 0.975
1099 0.181947 0.97
1100 0.181973 0.965
1101 0.181998 0.96
1102 0.182024 0.965
1103 0.18204 0.97
1104 0.182056 0.975
1105 0.182072 0.98
1106 0.182107 0.985
1107 0.182132 0.98
1108 0.182157 0.98
1109 0.182173 0.975
1110 0.18218 0.97
1111 0.182187 0.97
1112 0.182194 0.97
1113 0.182183 0.965
1114 0.182172 0.965
1115 0.182161 0.965
1116 0.182151 0.96
1117 0.18214 0.965
1118 0.182111 0.96
1119 0.182091 0.965
1120 0.182062 0.96
1121 0.182034 0.955
1122 0.182014 0.96
1123 0.182012 0.955
1124 0.182011 0.955
1125 0.182009 0.955
1126 0.182007 0.96
1127 0.182005 0.955
1128 0.181995 0.95
1129 0.181993 0.955
1130 0.181991 0.955
1131 0.181989 0.955
1132 0.181988 0.96
1133 0.181986 0.965
1134 0.181984 0.965
1135 0.181982 0.965
1136 0.181981 0.965
1137 0.181979 0.96
1138 0.181977 0.955
1139 0.181975 0.95
1140 0.181974 0.955
1141 0.181972 0.955
1142 0.18197 0.955
1143 0.181969 0.955
1144 0.181976 0.95
1145 0.181983 0.955
1146 0.181998 0.96
1147 0.182014 0.965
1148 0.182038 0.96
1149 0.182063 0.965
1150 0.182096 0.97
